Test Method,# configuration parameter,Configuration Key
org.apache.zeppelin.dep.DependencyResolverTest#testDelRepo,6,[zeppelin.server.addr=127.0.0.1;zeppelin.ssl=false;zeppelin.server.port=8080;zeppelin.server.context.path=/;zeppelin.proxy.url=null;zeppelin.interpreter.dep.mvnRepo=https://repo1.maven.org/maven2/;]
org.apache.zeppelin.interpreter.remote.RemoteInterpreterServerTest#testInterpreter,9,[zeppelin.server.addr=127.0.0.1;zeppelin.ssl=false;zeppelin.server.port=8080;zeppelin.server.context.path=/;zeppelin.cluster.addr=;zeppelin.interpreter.lifecyclemanager.class=org.apache.zeppelin.interpreter.lifecycle.NullLifecycleManager;zeppelin.proxy.url=null;zeppelin.interpreter.dep.mvnRepo=https://repo1.maven.org/maven2/;zeppelin.scheduler.threadpool.size=100;]
org.apache.zeppelin.cluster.ClusterSingleNodeTest#getServerMeta,4,[zeppelin.ssl=false;zeppelin.server.context.path=/;zeppelin.cluster.heartbeat.interval=3000;zeppelin.cluster.heartbeat.timeout=9000;]
org.apache.zeppelin.scheduler.FIFOSchedulerTest#testRun,5,[zeppelin.server.addr=127.0.0.1;zeppelin.ssl=false;zeppelin.server.port=8080;zeppelin.server.context.path=/;zeppelin.scheduler.threadpool.size=100;]
org.apache.zeppelin.scheduler.FIFOSchedulerTest#testAbort,5,[zeppelin.server.addr=127.0.0.1;zeppelin.ssl=false;zeppelin.server.port=8080;zeppelin.server.context.path=/;zeppelin.scheduler.threadpool.size=100;]
org.apache.zeppelin.dep.DependencyResolverTest#should_throw_exception_if_dependency_not_found,6,[zeppelin.server.addr=127.0.0.1;zeppelin.ssl=false;zeppelin.server.port=8080;zeppelin.server.context.path=/;zeppelin.proxy.url=null;zeppelin.interpreter.dep.mvnRepo=https://repo1.maven.org/maven2/;]
org.apache.zeppelin.helium.ApplicationLoaderTest#loadUnloadApplication,6,[zeppelin.server.addr=127.0.0.1;zeppelin.ssl=false;zeppelin.server.port=8080;zeppelin.server.context.path=/;zeppelin.proxy.url=null;zeppelin.interpreter.dep.mvnRepo=https://repo1.maven.org/maven2/;]
org.apache.zeppelin.dep.DependencyResolverTest#testLoad,6,[zeppelin.server.addr=127.0.0.1;zeppelin.ssl=false;zeppelin.server.port=8080;zeppelin.server.context.path=/;zeppelin.proxy.url=null;zeppelin.interpreter.dep.mvnRepo=https://repo1.maven.org/maven2/;]
org.apache.zeppelin.TestDebug#test,7,[zeppelin.server.addr=127.0.0.1;zeppelin.ssl=false;zeppelin.server.port=8080;zeppelin.server.context.path=/;myname=null;age=0;fake-param=null;]
org.apache.zeppelin.interpreter.remote.RemoteInterpreterServerTest#testStartStop,6,[zeppelin.server.addr=127.0.0.1;zeppelin.ssl=false;zeppelin.server.port=8080;zeppelin.server.context.path=/;zeppelin.cluster.addr=;zeppelin.interpreter.lifecyclemanager.class=org.apache.zeppelin.interpreter.lifecycle.NullLifecycleManager;]
org.apache.zeppelin.dep.DependencyResolverTest#testAddRepo,6,[zeppelin.server.addr=127.0.0.1;zeppelin.ssl=false;zeppelin.server.port=8080;zeppelin.server.context.path=/;zeppelin.proxy.url=null;zeppelin.interpreter.dep.mvnRepo=https://repo1.maven.org/maven2/;]
org.apache.zeppelin.interpreter.remote.RemoteInterpreterServerTest#testStartStopWithQueuedEvents,6,[zeppelin.server.addr=127.0.0.1;zeppelin.ssl=false;zeppelin.server.port=8080;zeppelin.server.context.path=/;zeppelin.cluster.addr=;zeppelin.interpreter.lifecyclemanager.class=org.apache.zeppelin.interpreter.lifecycle.NullLifecycleManager;]
org.apache.zeppelin.cluster.ClusterSingleNodeTest#putIntpProcessMeta,4,[zeppelin.ssl=false;zeppelin.server.context.path=/;zeppelin.cluster.heartbeat.interval=3000;zeppelin.cluster.heartbeat.timeout=9000;]
org.apache.zeppelin.scheduler.ParallelSchedulerTest#testRun,5,[zeppelin.server.addr=127.0.0.1;zeppelin.ssl=false;zeppelin.server.port=8080;zeppelin.server.context.path=/;zeppelin.scheduler.threadpool.size=100;]
